Conference Name,Event Date,First Name,Last Name,Email Address
August - Power Apps,8/1/2022,Henry,Ross,HenryRoss@adatum.com
August - Power Apps,8/1/2022,Eric,Solomon,EricSolomon@adventure-works.com
August - Power Apps,8/1/2022,Ashley,Schroeder,AshleySchroeder@alpineskihouse.com
August - Power Apps,8/1/2022,Quinn,Campbell,QuinnCampbell@bellowscollege.com
August - Power Apps,8/1/2022,Amari,Rivera,AmariRivera@bestforyouorpanics.com
August - Power Apps,8/1/2022,Kayla,Lewis,KaylaLewis@contoso.com
August - Power Apps,8/1/2022,Monica,Thompson,MonicaThompson@contososuites.com
August - Power Apps,8/1/2022,Dakota,Sanchez,DakotaSanchez@consolidatedmessenger.com
August - Power Apps,8/1/2022,Juan,Morgan,JuanMorgan@fabrikam.com
August - Power Apps,8/1/2022,Corey,Gray,CoreyGray@fabrikamresidences.com
August - Power Apps,8/1/2022,Omar,Bennett,OmarBennett@firstupconsultants.com
August - Power Apps,8/1/2022,Caleb,Foster,CalebFoster@fourthcoffee.com
August - Power Apps,8/1/2022,Remy,Morris,RemyMorris@graphicdesigninstitute.com
August - Power Apps,8/1/2022,Parker,McLean,ParkerMcLean@humongousinsurance.com
August - Power Apps,8/1/2022,Ellis,Turner,EllisTurner@lamnahealthcare.com
August - Power Apps,8/1/2022,Robin,Kline,RobinKline@libertysdelightfulsinfulbakeryandcafe.com
September - Power Automate,9/1/2022,Markus,Long,MarkusLong@lucernepublishing.com
September - Power Automate,9/1/2022,Sydney,Mattos,SydneyMattos@margiestravel.com
September - Power Automate,9/1/2022,Oscar,Ward,OscarWard@munsonspicklesandpreservesfarm.com
September - Power Automate,9/1/2022,Joseph,Price,JosephPrice@nodpublishers.com
September - Power Automate,9/1/2022,Quincy,Watson,QuincyWatson@adatum.com
September - Power Automate,9/1/2022,Morgan,Connors,MorganConnors@adventure-works.com
September - Power Automate,9/1/2022,William,Beringer,WilliamBeringer@alpineskihouse.com
September - Power Automate,9/1/2022,Vance,DeLeon,VanceDeLeon@bellowscollege.com
September - Power Automate,9/1/2022,Jessie,Irwin,JessieIrwin@bestforyouorpanics.com
September - Power Automate,9/1/2022,Felix,Henderson,FelixHenderson@contoso.com
September - Power Automate,9/1/2022,Maya,Robinson,MayaRobinson@contososuites.com
September - Power Automate,9/1/2022,Preston,Morales,PrestonMorales@consolidatedmessenger.com
September - Power Automate,9/1/2022,Rory,Nguyen,RoryNguyen@fabrikam.com
